standard,subject,unit_number,unit_title,lesson_title,lesson_type,learning_objectives,key_concepts,sample_question_1,sample_answer_1,sample_question_2,sample_answer_2,sample_question_3,sample_answer_3,sample_question_4,sample_answer_4,sample_question_5,sample_answer_5
1,English,1,The Clever Rabbit,The Clever Rabbit,Story,Improve reading skills; Learn moral values like cleverness and teamwork,clever; bravery; story; lion; friendship,Who was the clever animal in the story?,The rabbit,Why did the rabbit trick the lion?,To save his friends,What did the rabbit show the lion in the well?,His own reflection,What happened to the lion at the end?,He jumped in the well and drowned,What is the moral of the story?,Cleverness can overcome strength
1,Math,2,Counting Numbers 1 to 10,Counting Numbers 1 to 10,Concept,Identify and write numbers 1 to 10; Count objects up to 10,count; numbers; quantity; order,What number comes after 5?,6,Count the apples in the picture (show 7 apples).,7,What is the first number we count?,1,Which number comes before 4?,3,How many fingers do you have?,10
1,Science,3,Parts of the Body,Parts of the Body,Real-life,Identify basic body parts; Understand the function of body parts,body; head; arms; legs; eyes,Which body part do we use to see?,Eyes,Name three parts of the body.,"Head, arms, legs",Which body part helps you walk?,Legs,What do we use our hands for?,To hold and carry things,Which part helps us smell?,Nose
1,Moral Science,4,Helping Others,Helping Others,Real-life,Learn the value of helping; Understand how to be a good friend,help; friendship; kindness; sharing,What did Ravi do in the story?,He helped his friend,Why should we help others?,Because it is kind and makes us good friends,How do you feel when you help someone?,Happy,Who do you help at home?,Parents and siblings,What can you share with your friends?,Toys and snacks
1,Environmental Studies,5,My Family,My Family,Real-life,Identify family members; Understand roles in a family,family; parents; grandparents; care,Who are your family members?,Parents siblings grandparents,What do family members do for each other?,They care and help each other,Who cooks food at home usually?,Mother or father,Who tells stories at night?,Grandparents,What do you love about your family?,They love and care for me
2,English,1,The Lion and the Mouse,The Lion and the Mouse,Story,"Learn moral lessons like kindness and the value of friendship","lion; mouse; kindness; gratitude","Who helped the lion in the story?","The mouse","Why did the mouse help the lion?","Because the lion had saved it earlier","What did the lion do after being freed?","He thanked the mouse","What is the lesson from this story?","Even small creatures can help big ones","How did the lion get trapped?","He was caught in a net"
2,Math,2,Addition and Subtraction,Addition and Subtraction,Concept,"Learn how to add and subtract numbers up to 20","addition; subtraction; numbers; calculation","What is 5 + 3?","8","If you have 10 apples and give 4 away, how many apples do you have left?","6","What is 7 – 2?","5","How many fingers do you add if you count 3 fingers and 4 more?","7","What is 12 – 7?","5"
2,Science,3,The Water Cycle,The Water Cycle,Concept,"Understand the process of the water cycle","water; evaporation; condensation; precipitation","What happens during evaporation?","Water turns into vapor","Where does the vapor go after evaporation?","It rises into the air","What is condensation?","When water vapor cools and turns back into liquid","What is precipitation?","When water falls as rain or snow","What happens to water after it rains?","It returns to the ground"
2,Moral Science,4,Honesty,Honesty,Real-life,"Learn the importance of being truthful","truth; honesty; integrity; trust","Why should we be honest?","Because it builds trust","What happened when Sam lied?","He lost his friend's trust","How did Sam feel after telling the truth?","Relieved and happy","Can a lie hurt someone?","Yes, it can hurt feelings","What is the benefit of being honest?","It helps you make real friends"
2,Environmental Studies,5,Our Earth,Our Earth,Real-life,"Learn about Earth’s environment and its protection","earth; environment; pollution; care","What is pollution?","Dirt or harmful substances in the environment","How can we protect our Earth?","By planting trees and not throwing trash","What is recycling?","Turning waste materials into new products","What can we do to save water?","Use less water and don’t waste it","Why should we protect animals?","They help keep the environment balanced"
